,p_val,avg_log2FC,pct.1,pct.2,p_val_adj,cluster,gene
hsa04666.9,6.55657618932805e-06,0.000617316250937952,0.458,0.344,0.00203909519488102,21,hsa04666
hsa04966.10,1.14859339729073e-05,0.00014905552924949,0.323,0.308,0.00357212546557416,21,hsa04966
hsa05171.13,1.23945193007001e-05,0.000396487050614744,0.818,0.745,0.00385469550251772,21,hsa05171
hsa04621.14,1.24076342976695e-05,0.000788103956842891,0.822,0.763,0.0038587742665752,21,hsa04621
hsa00592.13,1.62602179965344e-05,1.1224676037013e-05,0.325,0.274,0.0050569277969222,21,hsa00592
hsa00310.12,1.80978262283512e-05,0.00133865363174119,0.345,0.282,0.00562842395701722,21,hsa00310
hsa00561.13,2.07806303813053e-05,0.000245185143373517,0.493,0.387,0.00646277604858594,21,hsa00561
hsa00270.12,5.57294755889602e-05,0.000481776570030596,0.212,0.266,0.0173318669081666,21,hsa00270
hsa00071.10,5.81675684014309e-05,0.000837756914026574,0.182,0.228,0.018090113772845,21,hsa00071
hsa04380.12,5.84632788714568e-05,0.000654276177160587,0.471,0.418,0.0181820797290231,21,hsa04380
hsa05414.11,8.61041817730824e-05,0.000341884244302734,0.882,0.893,0.0267784005314286,21,hsa05414
hsa00564.13,0.000192203484651474,0.000198484055946241,0.469,0.407,0.0597752837266083,21,hsa00564
hsa03460.13,0.000253506772986063,0.000328361621094702,0.199,0.169,0.0788406063986655,21,hsa03460
hsa00565.13,0.000413233585561766,8.81461488045331e-05,0.619,0.503,0.128515645109709,21,hsa00565
hsa03015.9,0.000433711874131796,0.000764103467744582,0.375,0.333,0.134884392854989,21,hsa03015
hsa03440.13,0.000630479974593372,0.000312216998327369,0.298,0.26,0.196079272098539,21,hsa03440
hsa00040.13,0.000647030253541493,0.000171614599938244,0.278,0.367,0.201226408851404,21,hsa00040
hsa04927.14,0.000707977518482222,0.000213220060804453,0.692,0.628,0.220181008247971,21,hsa04927
hsa04625.10,0.000757246625831689,0.000718167419862589,0.67,0.64,0.235503700633655,21,hsa04625
hsa04210.14,0.000766566093425677,0.000469090604317912,0.392,0.344,0.238402055055385,21,hsa04210
hsa00760.7,0.000773905614800365,6.88925866167009e-05,0.34,0.304,0.240684646202914,21,hsa00760
hsa00730.10,0.000816945582999124,6.35068742667652e-05,0.131,0.14,0.254070076312728,21,hsa00730
hsa05235.13,0.000836009862730822,0.00114574448099539,0.332,0.271,0.259999067309286,21,hsa05235
hsa05215.13,0.00175715036755024,0.000310085423133268,0.747,0.657,0.546473764308124,21,hsa05215
hsa04742.12,0.00188980278290145,2.37131886731114e-06,0.548,0.415,0.587728665482351,21,hsa04742
hsa04114.13,0.00238558779367698,0.000659638310486163,0.285,0.254,0.74191780383354,21,hsa04114
hsa03450.7,0.00309714909298471,0.000268257307897519,0.345,0.317,0.963213367918245,21,hsa03450
hsa03040.9,0.00325596607311918,0.000540215091936096,0.473,0.417,1,21,hsa03040
hsa00601.12,0.00378212150264858,7.29183615998348e-05,0.261,0.282,1,21,hsa00601
hsa04664.13,0.00380732256777726,0.000349007637002911,0.67,0.654,1,21,hsa04664
hsa05169.12,0.00509934221038169,0.000307309776031469,0.812,0.796,1,21,hsa05169
hsa04934.14,0.00522545922997378,0.00027080371138647,0.6,0.551,1,21,hsa04934
hsa05220.14,0.00640584388380239,0.000484188385797002,0.653,0.609,1,21,hsa05220
hsa00190.10,0.00703013608902522,0.000423873169044432,0.308,0.322,1,21,hsa00190
hsa05210.12,0.00716349491938232,0.00060016084719791,0.709,0.684,1,21,hsa05210
hsa04921.11,0.00728135811145775,0.000322172972438725,0.321,0.213,1,21,hsa04921
hsa05140.10,0.00861286864158936,8.16961369209438e-05,0.377,0.309,1,21,hsa05140
hsa04742.13,3.8142402648599e-176,0.000540521199967455,0.867,0.408,1.18622872237143e-173,16,hsa04742
hsa04924.14,4.85480651741409e-137,0.00148250180184568,0.905,0.531,1.50984482691578e-134,16,hsa04924
hsa00230.15,3.9613781908551e-126,0.000700342715071331,0.932,0.629,1.23198861735593e-123,16,hsa00230
hsa04020.14,1.13074188365609e-101,0.00138838086477327,0.911,0.601,3.51660725817045e-99,16,hsa04020
hsa00910.15,3.96088250017953e-96,0.002744632059774,0.554,0.126,1.23183445755583e-93,16,hsa00910
hsa04730.13,1.42697217785543e-75,0.00286434727918292,0.905,0.692,4.43788347313038e-73,16,hsa04730
hsa04927.15,8.12625518292158e-68,0.00150808758479702,0.866,0.624,2.52726536188861e-65,16,hsa04927
hsa04713.13,7.23781644234475e-61,0.00199546840524052,0.85,0.665,2.25096091356922e-58,16,hsa04713
hsa04922.14,3.99886508975202e-59,0.00188376574804542,0.559,0.317,1.24364704291288e-56,16,hsa04922
hsa04611.14,1.62059662912627e-56,0.00314618718123533,0.906,0.712,5.04005551658271e-54,16,hsa04611
hsa04270.13,8.03537208682857e-55,0.00337033539734786,0.868,0.731,2.49900071900368e-52,16,hsa04270
hsa04540.14,5.34620186468412e-53,0.00346058022329053,0.911,0.808,1.66266877991676e-50,16,hsa04540
hsa04725.15,1.29577197643021e-49,0.00139646705501404,0.76,0.56,4.02985084669796e-47,16,hsa04725
hsa05131.12,1.18016254709522e-48,0.0033242444692064,0.825,0.613,3.67030552146613e-46,16,hsa05131
hsa04350.13,5.61751929904995e-48,0.00184824735695189,0.753,0.56,1.74704850200454e-45,16,hsa04350
hsa04726.14,3.79893878567138e-47,0.00101762788832414,0.808,0.599,1.1814699623438e-44,16,hsa04726
hsa05032.13,1.14017264686964e-46,0.000735434592678166,0.988,0.966,3.54593693176457e-44,16,hsa05032
hsa04371.13,1.45125440958466e-45,0.00112123373201928,0.706,0.478,4.51340121380828e-43,16,hsa04371
hsa04613.13,7.53734119139032e-45,0.000670523090829513,0.35,0.199,2.34411311052239e-42,16,hsa04613
hsa04934.15,2.04077772535215e-41,0.00123024880342421,0.752,0.548,6.34681872584518e-39,16,hsa04934
