,p_val,avg_log2FC,pct.1,pct.2,p_val_adj,cluster,gene
hsa04066.1,3.73142533187382e-09,2.02208065386578e-07,0.431,0.328,1.16047327821276e-06,7,hsa04066
hsa04940,3.76228017614639e-09,1.97277979688012e-09,0.171,0.042,1.17006913478153e-06,7,hsa04940
hsa00053.1,4.39525813176039e-09,6.9436748076672e-08,0.171,0.196,1.36692527897748e-06,7,hsa00053
hsa04962.1,1.71796713633326e-08,5.09258700698424e-08,0.446,0.305,5.34287779399642e-06,7,hsa04962
hsa05321.1,1.72539367236413e-08,4.48740046840036e-08,0.373,0.313,5.36597432105244e-06,7,hsa05321
hsa05030.1,5.47471850216986e-08,3.01845942040133e-08,0.421,0.26,1.70263745417483e-05,7,hsa05030
hsa03010.1,2.47754088350212e-07,2.02403099034549e-07,0.625,0.563,7.7051521476916e-05,7,hsa03010
hsa04152.1,8.9795172803795e-07,8.65577113748124e-09,0.35,0.351,0.000279262987419803,7,hsa04152
hsa00982.1,2.73927143250521e-06,6.3339833491058e-08,0.22,0.162,0.00085191341550912,7,hsa00982
hsa05152.1,5.68760424483035e-06,5.06313924231009e-08,0.475,0.375,0.00176884492014224,7,hsa05152
hsa04141.1,6.37216328136947e-06,1.11197639445743e-07,0.547,0.468,0.00198174278050591,7,hsa04141
hsa03060.1,1.32608396280107e-05,1.83740666702932e-07,0.375,0.232,0.00412412112431134,7,hsa03060
hsa04380,1.34349060655667e-05,5.49863027574834e-09,0.239,0.237,0.00417825578639124,7,hsa04380
hsa00980.1,1.60700692536292e-05,5.29251405792993e-08,0.149,0.091,0.00499779153787867,7,hsa00980
hsa05164.1,3.49993261093695e-05,1.87908875819412e-08,0.241,0.238,0.0108847904200139,7,hsa05164
hsa05130.1,5.93644117620619e-05,1.73230072648819e-08,0.178,0.133,0.0184623320580012,7,hsa05130
hsa05204,6.9894231240125e-05,8.07550906111172e-08,0.133,0.068,0.0217371059156789,7,hsa05204
hsa04514.1,0.000224045190279153,4.03694032840589e-08,0.289,0.177,0.0696780541768166,7,hsa04514
hsa05031.1,0.000439140612819173,3.76472371588443e-08,0.476,0.386,0.136572730586763,7,hsa05031
hsa00533.1,0.000472730491017743,6.61351022324393e-09,0.185,0.152,0.147019182706518,7,hsa00533
hsa00514.1,0.000868689391570355,1.59099363233912e-08,0.301,0.215,0.27016240077838,7,hsa00514
hsa00510.1,0.000879033383493654,1.22967675873863e-08,0.409,0.299,0.273379382266526,7,hsa00510
hsa05140,0.000919558229202723,1.42831817565202e-08,0.111,0.083,0.285982609282047,7,hsa05140
hsa03450.1,0.00142958270003572,2.90294439854299e-09,0.158,0.128,0.444600219711108,7,hsa03450
hsa05416.1,0.00163836695829063,4.55465627927738e-10,0.162,0.118,0.509532124028385,7,hsa05416
hsa04392.1,0.00208537022972974,3.059490037749e-08,0.264,0.186,0.648550141445948,7,hsa04392
hsa05230.1,0.00233331946179125,5.51959189395837e-08,0.407,0.4,0.725662352617079,7,hsa05230
hsa05412.1,0.00270716972346178,4.50370234172681e-08,0.321,0.217,0.841929783996612,7,hsa05412
hsa00520.1,0.0038031873441254,2.90839709036725e-08,0.497,0.394,1,7,hsa00520
hsa00430,0.0039082949494239,2.64299203621692e-08,0.176,0.109,1,7,hsa00430
hsa05414.1,0.00436509542173559,4.06289863885697e-08,0.334,0.219,1,7,hsa05414
hsa03050,0.00605706592530302,9.48460344615434e-09,0.272,0.225,1,7,hsa03050
hsa05418.1,0.00642553069797323,4.33647619656072e-08,0.154,0.154,1,7,hsa05418
hsa04060.1,0.00669618934262838,4.07047272210075e-09,0.196,0.186,1,7,hsa04060
hsa00140.2,3.25875316435898e-274,7.74123226226864e-08,0.78,0.294,1.01347223411564e-271,6,hsa00140
hsa04614.2,3.14409948519153e-91,4.22879395464431e-08,0.218,0.085,9.77814939894567e-89,6,hsa04614
hsa00910.1,5.05762184487485e-61,1.11725866995923e-07,0.637,0.406,1.57292039375608e-58,6,hsa00910
hsa00830.2,1.07298144863652e-42,3.18777358500187e-08,0.1,0.096,3.33697230525956e-40,6,hsa00830
hsa04640.2,7.27224716767982e-39,1.46438577386707e-08,0.305,0.167,2.26166886914842e-36,6,hsa04640
hsa04061.1,9.28756334697547e-39,1.22809528690015e-08,0.187,0.158,2.88843220090937e-36,6,hsa04061
hsa04923.2,2.62789348010138e-35,4.80154051084617e-08,0.319,0.166,8.17274872311528e-33,6,hsa04923
hsa00360.2,9.81954757289956e-31,5.27579792890397e-08,0.239,0.177,3.05387929517176e-28,6,hsa00360
hsa00590.1,2.55939685599342e-29,2.83702815189149e-08,0.183,0.142,7.95972422213953e-27,6,hsa00590
hsa04713.2,2.56538618868292e-28,5.16521312998505e-08,0.695,0.562,7.9783510468039e-26,6,hsa04713
hsa05142.2,1.00081451043517e-24,1.48212950439652e-07,0.419,0.294,3.11253312745339e-22,6,hsa05142
hsa04540.2,7.55792018402545e-24,3.97146919946065e-08,0.346,0.199,2.35051317723191e-21,6,hsa04540
hsa04380.1,2.49930635293898e-23,1.21804658635771e-07,0.356,0.229,7.77284275764023e-21,6,hsa04380
hsa05143.2,7.2851798258921e-23,2.1420407013317e-08,0.335,0.241,2.26569092585244e-20,6,hsa05143
hsa04730.2,5.92706182406262e-22,3.36861077107592e-08,0.403,0.257,1.84331622728348e-19,6,hsa04730
hsa04066.2,5.48149059389336e-20,1.76458553090451e-07,0.443,0.327,1.70474357470083e-17,6,hsa04066
hsa04071.2,2.34589583505014e-18,1.68218646083063e-07,0.473,0.363,7.29573604700593e-16,6,hsa04071
hsa04934.1,2.48997298051837e-18,7.57658713320889e-08,0.526,0.436,7.74381596941212e-16,6,hsa04934
hsa04270.2,2.66973294669059e-18,4.16682650022513e-08,0.461,0.329,8.30286946420774e-16,6,hsa04270
hsa04211.2,5.93536639748936e-17,4.69745128367614e-08,0.534,0.416,1.84589894961919e-14,6,hsa04211
hsa05340.2,1.35149728965343e-16,4.54156820261355e-09,0.277,0.196,4.20315657082216e-14,6,hsa05340
hsa05221.2,4.20225121769439e-16,1.22282825759913e-07,0.381,0.238,1.30690012870296e-13,6,hsa05221
hsa05235.2,9.69912041480437e-16,8.46110505322829e-08,0.381,0.277,3.01642644900416e-13,6,hsa05235
hsa00860.2,6.78208483465249e-15,4.6171572672559e-08,0.176,0.154,2.10922838357692e-12,6,hsa00860
hsa04935.2,2.11071325651336e-14,1.10807458393799e-07,0.448,0.349,6.56431822775656e-12,6,hsa04935
hsa00513,4.73375350711191e-14,1.79007792538058e-08,0.439,0.316,1.4721973407118e-11,6,hsa00513
