,p_val,avg_log2FC,pct.1,pct.2,p_val_adj,cluster,gene
hsa04916.8,2.37029161568313e-17,0.000236531196755357,0.161,0.24,7.37160692477455e-15,8,hsa04916
hsa03015.8,8.60096715051899e-17,0.000735146746280062,0.271,0.308,2.67490078381141e-14,8,hsa03015
hsa00330.8,1.0909348141508e-16,0.000590726452224116,0.089,0.111,3.39280727200897e-14,8,hsa00330
hsa00380.11,2.69293906044497e-16,0.000584761113972929,0.137,0.167,8.37504047798387e-14,8,hsa00380
hsa00561.9,3.60842384869935e-16,0.000241170675087844,0.218,0.261,1.1222198169455e-13,8,hsa00561
hsa04392.9,7.7917826212812e-16,0.000317197164092905,0.213,0.273,2.42324439521845e-13,8,hsa04392
hsa05230.9,1.32197196800893e-15,0.000229133337707359,0.204,0.282,4.11133282050777e-13,8,hsa05230
hsa00564.9,1.38686327116815e-15,0.0001874277733339,0.267,0.319,4.31314477333296e-13,8,hsa00564
hsa04380.10,2.57232263109775e-14,0.000295036401056315,0.293,0.332,7.99992338271401e-12,8,hsa04380
hsa04072.9,4.77241590454854e-14,0.000188450420161431,0.321,0.317,1.48422134631459e-11,8,hsa04072
hsa03460.7,3.89819545682304e-13,0.000286484466315482,0.146,0.233,1.21233878707196e-10,8,hsa03460
hsa04921.9,4.89617002593871e-13,0.000174863232537927,0.447,0.391,1.52270887806694e-10,8,hsa04921
hsa04370.7,1.41981203364667e-12,0.000175341855928028,0.238,0.312,4.41561542464115e-10,8,hsa04370
hsa03010.7,6.91432546618576e-12,0.00034837024865771,0.375,0.37,2.15035521998377e-09,8,hsa03010
