"cluster","gene","avg_log2FC","pct.1","pct.2","p_val_adj"
"9","RHEX",1.49858131551442,0.291,0.014,0
"9","LINC02615",1.44354977906037,0.334,0.038,0
"9","UGT2A3",1.40765680359049,0.36,0.05,0
"9","DLGAP1",1.39882169060374,0.27,0.012,0
"9","DOCK11",1.33152002722813,0.273,0.023,0
"9","ADGRG6",1.33075373066165,0.309,0.038,0
"9","ACSM2A",1.30097957915879,0.837,0.243,0
"9","PCA3",1.22281198095003,0.307,0.038,0
"9","LINC01317",1.88472731113215,0.651,0.203,3.37915719095805e-286
"9","PRUNE2",1.42803702446693,0.418,0.077,1.7063096887556e-281
"9","UGCG",1.72490487687712,0.478,0.11,4.17531831376462e-269
"9","TNFAIP2",1.51200238947349,0.339,0.054,4.55625850313911e-264
"9","AKAP12",1.61144283204239,0.296,0.041,1.16667620109241e-263
"9","TNFSF10",1.76763681547674,0.438,0.094,1.01473366587694e-258
"9","TTLL7",1.14996426233954,0.272,0.037,2.50068128343244e-243
"10","EGFL7",4.0761221323494,0.744,0.03,0
"10","PTPRB",3.33300006921544,0.603,0.021,0
"10","SLCO2A1",3.07673620822022,0.431,0.023,0
"10","PECAM1",3.0680416383752,0.451,0.015,0
"10","MEIS2",3.04640311679417,0.545,0.038,0
"10","SHANK3",2.79649302054394,0.451,0.044,0
"10","KLF2",2.70005087834013,0.336,0.02,0
"10","ENG",2.69364702395391,0.375,0.028,0
"10","ADCY4",2.65249317968879,0.353,0.012,0
"10","LIMS2",2.62332893187199,0.407,0.037,0
"10","TCF4",2.6051147138985,0.384,0.047,0
"10","FLT1",2.58703969210443,0.328,0.016,0
"10","IFI44L",2.49003705480015,0.298,0.023,0
"10","EMCN",2.37382021995462,0.369,0.026,0
"10","NHERF2",2.34187888358675,0.278,0.022,0
"10","TEK",2.26646773833642,0.295,0.016,0
"10","ARAP3",2.23559244665328,0.277,0.012,0
"10","PLXND1",2.17705591843052,0.271,0.014,0
"10","NOTCH4",2.15577272662154,0.284,0.009,0
"10","GPSM3",2.15099655830225,0.256,0.012,0
"10","LDB2",2.13898582704305,0.32,0.029,0
"10","ENSG00000258168",2.00945179337375,0.255,0.008,0
"10","CEACAM1",2.61531483317771,0.318,0.038,1.27833329447638e-283
"10","NOSTRIN",2.48854214026224,0.374,0.057,4.70177105603723e-271
"10","HLA-DRB5",1.98064777881041,0.252,0.024,4.1524898889388e-268
"10","RAPGEF5",2.03556316242615,0.255,0.025,9.91464149261105e-266
"10","IFI44",2.02111939445648,0.276,0.03,4.53354146314292e-264
